,title,salary,link,site
84,QA Automation Engineer (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48285869?from=vacancy_search_list&query=Python,https://hh.ru
85,Middle QA Automation Engineer (Python),"{'min_salary': 180000, 'max_salary': 250000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/43394113?from=vacancy_search_list&query=Python,https://hh.ru
86,Middle Python Developer (DevOps team),"{'min_salary': 150000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48448540?from=vacancy_search_list&query=Python,https://hh.ru
87,Python Developer (remote),"{'min_salary': 150000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48086950?from=vacancy_search_list&query=Python,https://hh.ru
88,Senior Backend Developer (Python),"{'min_salary': 3500, 'max_salary': 'not salary', 'currency': 'USD'}",https://spb.hh.ru/vacancy/48439217?from=vacancy_search_list&query=Python,https://hh.ru
89,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48363469?from=vacancy_search_list&query=Python,https://hh.ru
90,Специалист Computer Vision (Senior Data Scientist),"{'min_salary': 180000, 'max_salary': 300000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48411721?from=vacancy_search_list&query=Python,https://hh.ru
91,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47678830?from=vacancy_search_list&query=Python,https://hh.ru
92,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47757929?from=vacancy_search_list&query=Python,https://hh.ru
93,Senior Python Developer,"{'min_salary': 3000, 'max_salary': 'not salary', 'currency': 'EUR'}",https://spb.hh.ru/vacancy/48293376?from=vacancy_search_list&query=Python,https://hh.ru
94,Backend разработчик python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/40538840?from=vacancy_search_list&query=Python,https://hh.ru
95,Python developer,"{'min_salary': 160000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48240439?from=vacancy_search_list&query=Python,https://hh.ru
96,Программист Python (Самара),"{'min_salary': 'not salary', 'max_salary': 2500, 'currency': 'USD'}",https://spb.hh.ru/vacancy/47765920?from=vacancy_search_list&query=Python,https://hh.ru
97,Python (Django) Backend developer,"{'min_salary': 'not salary', 'max_salary': 270000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48120144?from=vacancy_search_list&query=Python,https://hh.ru
98,Python developer,"{'min_salary': 180000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/45610753?from=vacancy_search_list&query=Python,https://hh.ru
99,Python-разработчик в R&D отдел,"{'min_salary': 100000, 'max_salary': 150000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/45971399?from=vacancy_search_list&query=Python,https://hh.ru
100,Python разработчик,"{'min_salary': 1500, 'max_salary': 2000, 'currency': 'EUR'}",https://spb.hh.ru/vacancy/48378679?from=vacancy_search_list&query=Python,https://hh.ru
101,Python Developer (SEO Team),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48136498?from=vacancy_search_list&query=Python,https://hh.ru
102,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48148816?from=vacancy_search_list&query=Python,https://hh.ru
103,Python разработчик (Ростов-на-Дону),"{'min_salary': 150000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48083986?from=vacancy_search_list&query=Python,https://hh.ru
104,Python Developer,"{'min_salary': 3000, 'max_salary': 4000, 'currency': 'USD'}",https://spb.hh.ru/vacancy/48346327?from=vacancy_search_list&query=Python,https://hh.ru
105,Backend разработчик (Python),"{'min_salary': 170000, 'max_salary': 250000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47176790?from=vacancy_search_list&query=Python,https://hh.ru
106,"Python Django разработчик, удаленно","{'min_salary': 150000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47600591?from=vacancy_search_list&query=Python,https://hh.ru
107,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46788250?from=vacancy_search_list&query=Python,https://hh.ru
108,Full-stack Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48416395?from=vacancy_search_list&query=Python,https://hh.ru
109,Разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48345928?from=vacancy_search_list&query=Python,https://hh.ru
110,Backend-разработчик (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47481260?from=vacancy_search_list&query=Python,https://hh.ru
111,Middle Python Developer,"{'min_salary': 100000, 'max_salary': 140000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/44818284?from=vacancy_search_list&query=Python,https://hh.ru
112,Автор работ по программированию Python,"{'min_salary': 'not salary', 'max_salary': 90000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48445964?from=vacancy_search_list&query=Python,https://hh.ru
113,Старший разработчик-Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47669371?from=vacancy_search_list&query=Python,https://hh.ru
114,"Бэк-энд разработчик (Python, SQL)","{'min_salary': 100000, 'max_salary': 160000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/41095804?from=vacancy_search_list&query=Python,https://hh.ru
115,Data engineer (Python Hadoop Spark),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48403574?from=vacancy_search_list&query=Python,https://hh.ru
116,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46788414?from=vacancy_search_list&query=Python,https://hh.ru
117,С/С++/Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48022036?from=vacancy_search_list&query=Python,https://hh.ru
118,Python / Django developer,"{'min_salary': 1000, 'max_salary': 2500, 'currency': 'USD'}",https://spb.hh.ru/vacancy/47731874?from=vacancy_search_list&query=Python,https://hh.ru
119,Старший python-разработчик,"{'min_salary': 170000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47870292?from=vacancy_search_list&query=Python,https://hh.ru
120,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48380083?from=vacancy_search_list&query=Python,https://hh.ru
